Campaign_Budget,Ad_Click_Rate,Conversion_Rate,Social_Media_Followers,Email_Open_Rate,Customer_Retention_Rate,Platform,Campaign_Type,Target_Audience,Region
32135.82,2.63,8.88,209729.0,10.61,54.71,Twitter,Sales Promotion,Gen X,North America
42272.25,7.71,2.86,320201.0,67.64,53.77,Twitter,Content Marketing,Gen Z,Europe
34340.11,3.01,4.17,230132.0,27.9,69.08,Twitter,Sales Promotion,Gen X,South America
6263.68,2.4,5.73,121116.0,42.3,79.8,Instagram,Lead Generation,Millennials,North America
42224.27,4.76,9.82,229116.0,33.42,81.16,Twitter,Content Marketing,Boomers,North America
71333.27,3.24,5.75,72713.0,19.51,81.14,Google Ads,Brand Awareness,Gen X,Asia
75352.16,2.2,7.67,159185.0,37.87,62.4,Instagram,Brand Awareness,Millennials,South America
27995.02,2.86,3.64,275088.0,33.25,88.68,Google Ads,Brand Awareness,Gen X,South America
59886.57,6.59,3.78,304550.0,62.72,53.27,Instagram,Lead Generation,Gen X,Africa
64768.78,8.14,6.09,187816.0,74.92,76.04,Twitter,Lead Generation,Gen Z,South America
72097.4,2.04,8.08,187026.0,63.41,81.07,LinkedIn,Content Marketing,Gen Z,North America
53334.95,6.58,1.92,314121.0,74.81,99.74,Twitter,Sales Promotion,Gen Z,South America
30791.43,8.79,6.81,30905.0,77.73,79.33,Facebook,Sales Promotion,Boomers,North America
38969.27,9.41,7.96,200391.0,42.47,56.75,Instagram,Content Marketing,Boomers,Africa
73343.97,2.23,6.73,204058.0,35.36,88.39,Twitter,Content Marketing,Gen Z,Asia
94510.48,2.12,2.01,76235.0,38.29,68.18,Google Ads,Sales Promotion,Gen X,Europe
53133.02,3.89,4.46,-43379.0,58.56,58.37,Facebook,Content Marketing,Boomers,South America
73131.0,2.25,1.84,169113.0,59.42,95.14,Instagram,Content Marketing,Boomers,North America
31368.88,5.47,5.62,398250.0,79.5,57.11,Twitter,Brand Awareness,Gen Z,Africa
69823.92,0.83,8.92,136739.0,14.11,52.32,LinkedIn,Brand Awareness,Millennials,South America
31552.07,6.32,2.51,255588.0,68.25,69.87,Facebook,Content Marketing,Gen Z,Asia
42776.25,4.32,4.56,243837.0,71.94,65.64,Google Ads,Content Marketing,Boomers,Europe
38538.85,2.85,8.54,-99816.0,42.27,77.72,Twitter,Sales Promotion,Millennials,Africa
74524.97,8.14,0.57,213312.0,35.3,85.35,LinkedIn,Sales Promotion,Gen X,North America
66367.52,1.39,1.54,293759.0,12.3,68.45,Twitter,Content Marketing,Boomers,Asia
86728.58,5.26,7.61,121942.0,61.5,92.3,Facebook,Lead Generation,Gen X,Africa
35292.07,8.42,7.93,150362.0,39.3,65.82,Instagram,Lead Generation,Millennials,Europe
70042.87,3.71,6.02,129746.0,48.86,64.03,Facebook,Lead Generation,Gen X,North America
61176.64,7.87,5.74,148091.0,38.75,58.97,Instagram,Sales Promotion,Gen X,Europe
72588.52,1.97,7.25,168657.0,76.87,54.18,LinkedIn,Lead Generation,Millennials,North America
37071.84,3.11,7.43,287366.0,20.17,92.99,Twitter,Sales Promotion,Gen X,Asia
27441.52,4.53,5.8,193730.0,37.68,68.21,Instagram,Content Marketing,Millennials,Europe
58334.05,3.7,2.6,251455.0,23.33,50.85,Google Ads,Content Marketing,Gen X,Africa
74000.69,5.38,2.04,154276.0,30.47,89.1,Twitter,Content Marketing,Gen X,North America
54592.38,4.88,7.78,26897.0,31.64,77.68,Facebook,Lead Generation,Gen X,Africa
51896.48,9.34,1.13,321466.0,39.3,52.63,Google Ads,Sales Promotion,Gen Z,Asia
6707.86,8.24,2.46,286542.0,22.28,58.09,Google Ads,Content Marketing,Millennials,Africa
69758.62,1.71,7.95,125040.0,24.13,78.68,Twitter,Sales Promotion,Boomers,South America
32356.2,1.55,8.29,387431.0,43.34,61.82,Instagram,Lead Generation,Millennials,North America
61630.68,0.57,3.35,321382.0,67.45,83.38,Google Ads,Content Marketing,Gen X,North America
44529.33,6.03,2.36,31993.0,46.32,93.24,Google Ads,Brand Awareness,Gen Z,Africa
62565.72,1.99,7.69,95855.0,20.2,77.82,Instagram,Content Marketing,Boomers,Africa
31484.93,3.45,6.19,215837.0,74.99,67.09,Google Ads,Brand Awareness,Boomers,Asia
59479.28,8.62,0.56,167796.0,68.82,87.62,Twitter,Brand Awareness,Gen X,South America
58860.98,7.18,7.57,92647.0,11.23,86.15,LinkedIn,Sales Promotion,Gen Z,Europe
53929.0,1.23,4.75,76074.0,61.58,60.97,Instagram,Brand Awareness,Boomers,Asia
69092.88,9.25,3.61,290428.0,25.47,71.48,Facebook,Brand Awareness,Millennials,North America
24418.36,8.77,2.75,307865.0,10.29,50.15,Google Ads,Sales Promotion,Millennials,Asia
37572.6,6.02,2.91,104180.0,24.1,84.21,Instagram,Lead Generation,Boomers,Africa
51237.28,9.36,5.6,292332.0,19.58,57.61,Facebook,Sales Promotion,Gen Z,Africa
38264.08,3.84,6.98,211059.0,40.29,90.02,Instagram,Brand Awareness,Gen X,Africa
36022.95,7.64,6.88,81974.0,37.68,99.48,LinkedIn,Lead Generation,Millennials,Africa
19758.2,8.79,8.31,163421.0,20.86,56.4,Facebook,Brand Awareness,Gen Z,North America
61240.8,2.03,1.01,112571.0,45.38,52.1,Twitter,Sales Promotion,Millennials,Asia
60670.3,9.77,8.85,231783.0,30.38,56.57,Instagram,Brand Awareness,Boomers,North America
40485.7,1.66,2.34,157015.0,43.63,98.22,Instagram,Lead Generation,Gen X,North America
68569.92,9.74,7.67,265487.0,73.82,88.89,LinkedIn,Brand Awareness,Gen Z,Africa
45484.96,5.18,1.5,38317.0,26.86,66.41,Twitter,Brand Awareness,Millennials,Africa
39635.87,0.63,6.37,214637.0,20.18,57.32,Twitter,Sales Promotion,Gen X,Africa
92547.99,8.38,9.29,127898.0,21.51,61.74,Twitter,Brand Awareness,Millennials,Asia
46680.32,4.43,7.71,-19120.0,22.4,75.89,Google Ads,Lead Generation,Boomers,Africa
43216.54,5.11,4.55,175860.0,24.74,62.84,Instagram,Lead Generation,Gen X,Europe
50153.65,1.71,8.56,38076.0,77.24,63.53,Instagram,Sales Promotion,Gen Z,Europe
72074.59,4.69,4.0,345462.0,64.57,97.15,Facebook,Lead Generation,Gen Z,Africa
18144.65,6.71,9.41,137476.0,13.96,72.24,LinkedIn,Brand Awareness,Boomers,South America
29915.88,2.79,2.71,263518.0,17.76,99.49,Instagram,Lead Generation,Gen X,North America
59959.17,7.07,4.51,172456.0,47.7,76.73,Facebook,Brand Awareness,Gen Z,Europe
56368.75,4.55,1.22,331310.0,11.56,84.19,LinkedIn,Lead Generation,Millennials,Europe
63042.38,1.22,9.54,250538.0,79.09,71.21,Google Ads,Brand Awareness,Millennials,North America
79252.08,9.35,8.17,142229.0,14.64,53.49,Google Ads,Lead Generation,Gen Z,Europe
84984.69,9.66,9.76,104148.0,76.62,95.42,Facebook,Lead Generation,Gen X,Asia
61883.45,4.13,9.7,113883.0,42.29,56.03,LinkedIn,Content Marketing,Gen Z,Africa
102961.38,4.23,3.79,170837.0,31.45,69.47,Facebook,Brand Awareness,Gen Z,Africa
46616.91,2.88,4.0,131020.0,19.03,75.84,Twitter,Brand Awareness,Gen Z,Asia
89461.89,5.14,0.59,80408.0,46.63,86.87,Twitter,Brand Awareness,Gen Z,Asia
34721.29,6.09,4.43,122467.0,61.2,88.17,Google Ads,Brand Awareness,Gen Z,Africa
52409.72,1.01,6.92,51456.0,32.43,68.98,Instagram,Content Marketing,Gen Z,North America
45851.09,6.38,1.6,217532.0,46.42,60.53,Twitter,Brand Awareness,Gen Z,South America
67595.66,0.54,3.49,166986.0,18.29,72.52,Twitter,Content Marketing,Gen Z,North America
28047.33,5.17,3.44,133085.0,24.62,89.54,Facebook,Brand Awareness,Gen X,Asia
48352.24,2.81,3.82,376978.0,79.79,77.21,Facebook,Lead Generation,Gen Z,Europe
76241.67,3.72,3.05,119023.0,58.16,89.29,LinkedIn,Lead Generation,Gen Z,Africa
71001.89,6.23,6.12,180206.0,17.58,59.25,Instagram,Brand Awareness,Gen Z,Africa
62208.88,1.11,2.72,243339.0,55.08,75.03,Google Ads,Brand Awareness,Gen Z,Africa
59891.66,5.5,4.69,151253.0,13.36,94.55,LinkedIn,Content Marketing,Millennials,Africa
70506.01,9.22,5.7,49892.0,12.94,78.66,LinkedIn,Brand Awareness,Boomers,North America
46272.68,2.07,1.49,282106.0,38.17,83.44,LinkedIn,Content Marketing,Gen Z,Asia
10298.43,6.19,1.05,413394.0,33.34,54.39,Google Ads,Lead Generation,Gen X,North America
41936.05,4.61,5.45,158197.0,44.25,82.78,Facebook,Sales Promotion,Boomers,Asia
55469.78,9.8,6.82,310574.0,14.75,74.5,Instagram,Content Marketing,Gen Z,Asia
54111.72,0.96,4.13,257541.0,60.28,92.87,Google Ads,Brand Awareness,Boomers,North America
64168.05,8.51,4.76,265790.0,23.28,98.9,Facebook,Sales Promotion,Gen Z,Europe
40783.87,0.62,5.61,250248.0,64.51,99.21,Google Ads,Content Marketing,Boomers,North America
47799.22,4.07,3.35,25066.0,49.56,71.25,Google Ads,Brand Awareness,Gen Z,North America
61867.04,1.69,1.13,132038.0,45.43,70.63,Twitter,Content Marketing,Gen Z,South America
68023.94,7.2,5.74,59806.0,34.35,71.63,Twitter,Content Marketing,Millennials,Asia
38090.93,4.08,4.86,100227.0,26.84,95.95,LinkedIn,Content Marketing,Millennials,Africa
51190.44,6.38,5.15,357304.0,19.87,51.13,Instagram,Lead Generation,Millennials,Asia
79579.65,6.59,7.06,400357.0,63.77,63.28,Instagram,Lead Generation,Gen X,North America
17914.95,5.44,9.57,83634.0,71.3,90.15,LinkedIn,Brand Awareness,Gen Z,North America
25138.0,6.35,9.01,172872.0,63.95,97.58,Instagram,Brand Awareness,Millennials,Asia
61840.2,3.89,8.11,151524.0,76.58,75.27,Facebook,Brand Awareness,Millennials,Europe
62236.36,3.45,1.9,274973.0,16.73,67.37,Twitter,Content Marketing,Gen Z,South America
43419.97,0.83,7.06,95335.0,25.63,87.7,Facebook,Lead Generation,Gen Z,Europe
55374.23,4.63,8.45,200633.0,54.87,71.2,Twitter,Content Marketing,Gen Z,Asia
63395.63,1.83,9.29,171564.0,43.14,67.55,Twitter,Sales Promotion,Gen X,Asia
52950.84,3.95,3.67,215127.0,45.93,57.24,Google Ads,Lead Generation,Gen Z,Europe
61351.55,6.01,1.17,87072.0,27.18,99.2,Twitter,Content Marketing,Gen Z,Africa
39980.04,8.47,9.41,78333.0,12.63,60.84,Twitter,Sales Promotion,Millennials,Africa
58429.36,1.43,8.67,96621.0,23.18,97.72,Facebook,Sales Promotion,Boomers,Africa
56310.55,4.48,4.71,183508.0,54.04,79.27,Facebook,Content Marketing,Millennials,Europe
29938.42,1.08,8.45,247712.0,28.26,99.21,LinkedIn,Sales Promotion,Gen X,Africa
82127.03,6.41,3.07,193250.0,21.62,71.81,LinkedIn,Brand Awareness,Gen Z,Asia
68830.76,0.76,5.46,142409.0,50.66,95.73,LinkedIn,Lead Generation,Millennials,Europe
72240.19,8.62,4.32,285491.0,28.46,70.25,LinkedIn,Lead Generation,Boomers,North America
29428.62,2.87,8.37,222571.0,10.45,76.22,Google Ads,Content Marketing,Gen Z,Africa
70269.53,6.07,1.68,428496.0,13.09,71.05,Instagram,Content Marketing,Gen X,Europe
27497.0,1.56,5.98,79794.0,38.59,64.57,Instagram,Lead Generation,Gen Z,Asia
39071.98,2.48,6.73,64177.0,57.54,92.45,Google Ads,Sales Promotion,Boomers,Europe
71954.67,9.46,1.09,184150.0,74.8,58.83,Twitter,Sales Promotion,Boomers,Europe
35005.92,3.2,5.73,203464.0,29.71,80.68,LinkedIn,Content Marketing,Boomers,Africa
51920.5,7.65,2.18,194267.0,63.87,73.62,Google Ads,Content Marketing,Millennials,South America
14745.28,6.87,6.62,358808.0,17.6,86.4,Facebook,Brand Awareness,Gen Z,Africa
35221.24,3.69,8.09,226392.0,39.28,85.28,Facebook,Sales Promotion,Millennials,Africa
28149.19,9.63,7.97,-36851.0,34.57,94.65,LinkedIn,Sales Promotion,Gen Z,Africa
62408.62,8.46,0.96,174294.0,58.09,71.79,LinkedIn,Content Marketing,Boomers,Africa
4497.03,7.04,1.87,123049.0,37.17,76.9,Facebook,Brand Awareness,Boomers,Europe
43866.59,6.95,8.17,132896.0,42.14,57.57,Twitter,Content Marketing,Boomers,Europe
42290.07,7.96,6.49,215487.0,43.18,75.14,Instagram,Lead Generation,Gen X,North America
48648.8,9.43,3.67,143401.0,33.13,70.16,Facebook,Content Marketing,Gen X,Asia
39512.21,3.47,8.98,316640.0,28.3,52.91,Instagram,Brand Awareness,Boomers,Africa
30316.93,2.15,7.29,378460.0,46.93,87.86,Instagram,Lead Generation,Gen X,North America
42713.36,7.5,3.81,190049.0,12.98,98.59,Twitter,Brand Awareness,Millennials,Asia
23003.24,1.15,8.85,236222.0,69.39,59.94,Facebook,Lead Generation,Gen X,Europe
58660.28,3.68,7.1,249607.0,71.0,80.49,Instagram,Lead Generation,Boomers,Asia
59372.89,1.67,8.09,223702.0,63.33,72.76,Facebook,Lead Generation,Gen Z,Europe
48102.3,8.4,4.92,185759.0,27.89,94.29,Facebook,Lead Generation,Boomers,Asia
74803.22,1.99,5.59,74416.0,54.39,67.88,Twitter,Sales Promotion,Millennials,North America
41772.47,1.79,4.28,328942.0,55.15,50.95,Google Ads,Lead Generation,Gen Z,South America
60936.08,7.96,7.98,297025.0,64.39,79.79,Instagram,Lead Generation,Gen Z,Europe
88467.26,1.9,7.81,84871.0,37.31,89.43,LinkedIn,Content Marketing,Boomers,Asia
34379.49,1.8,2.08,147923.0,67.7,66.23,Google Ads,Lead Generation,Boomers,Asia
50731.0,2.59,2.4,202473.0,57.1,80.74,Google Ads,Sales Promotion,Millennials,Asia
17184.31,8.42,8.53,255919.0,72.95,78.4,Google Ads,Lead Generation,Gen Z,South America
62189.68,3.17,7.31,256771.0,47.03,63.01,Twitter,Brand Awareness,Boomers,South America
49091.82,9.1,1.29,378593.0,18.37,53.47,Facebook,Sales Promotion,Boomers,South America
43842.68,9.76,9.45,185521.0,26.72,81.84,Facebook,Content Marketing,Millennials,North America
33892.55,9.61,9.69,224072.0,50.73,70.51,Instagram,Sales Promotion,Boomers,Europe
44203.83,6.94,9.66,214643.0,31.12,98.6,Facebook,Brand Awareness,Millennials,Asia
51774.01,5.39,1.06,225794.0,53.04,90.87,LinkedIn,Sales Promotion,Boomers,Africa
46207.63,7.6,9.25,24940.0,46.44,65.56,Instagram,Brand Awareness,Boomers,Asia
27574.73,5.48,3.05,252974.0,43.08,93.71,Instagram,Lead Generation,Gen X,Africa
54083.57,8.97,1.41,90547.0,34.48,73.75,Google Ads,Lead Generation,Gen Z,North America
47004.91,7.52,4.4,203391.0,36.88,88.27,LinkedIn,Sales Promotion,Boomers,Europe
25892.27,4.83,6.19,202128.0,41.55,72.22,Instagram,Lead Generation,Millennials,North America
41636.0,0.77,5.27,326161.0,33.27,58.31,Google Ads,Sales Promotion,Millennials,North America
36894.87,3.33,4.94,246822.0,53.32,63.06,Instagram,Content Marketing,Boomers,Africa
60455.37,1.28,8.0,162944.0,19.84,52.12,Facebook,Lead Generation,Millennials,Europe
40565.0,1.15,3.72,246469.0,36.6,60.51,Google Ads,Content Marketing,Gen Z,South America
48646.64,7.26,7.91,48012.0,50.87,67.97,Instagram,Content Marketing,Millennials,Africa
37383.11,6.98,2.53,41419.0,47.12,73.13,Google Ads,Brand Awareness,Gen X,Europe
26653.37,7.47,9.4,338462.0,78.25,59.81,Twitter,Brand Awareness,Boomers,Europe
40159.39,3.7,6.48,196913.0,72.03,65.38,Instagram,Brand Awareness,Gen X,Africa
32123.75,0.96,8.94,244038.0,63.21,98.75,LinkedIn,Content Marketing,Gen X,South America
46226.72,3.28,8.32,317216.0,65.3,54.42,Facebook,Brand Awareness,Boomers,North America
47196.39,2.29,5.54,472901.0,68.7,51.85,Twitter,Sales Promotion,Gen Z,Africa
27441.86,6.33,0.85,229514.0,64.1,75.38,Instagram,Sales Promotion,Gen X,Africa
21815.12,5.33,6.42,111254.0,27.44,69.85,Instagram,Brand Awareness,Boomers,South America
90673.55,4.05,2.84,305502.0,22.69,86.08,Twitter,Lead Generation,Gen Z,Africa
54584.63,1.88,2.52,254670.0,46.48,57.18,LinkedIn,Lead Generation,Gen X,South America
46294.96,1.75,8.73,91617.0,11.9,60.0,Twitter,Sales Promotion,Millennials,Africa
59121.75,9.51,4.16,245359.0,10.42,55.88,Instagram,Brand Awareness,Boomers,Africa
64537.62,6.49,4.83,132191.0,38.15,69.4,Twitter,Lead Generation,Millennials,Europe
-4031.54,6.63,1.99,176869.0,21.5,57.38,Instagram,Lead Generation,Gen Z,Africa
36945.8,7.49,8.92,33914.0,41.48,63.26,Facebook,Brand Awareness,Gen Z,Europe
68868.41,3.32,9.59,229328.0,40.64,67.03,Instagram,Lead Generation,Gen X,South America
44858.32,8.58,1.6,250423.0,54.31,71.99,LinkedIn,Brand Awareness,Gen X,South America
71113.6,5.36,5.47,186198.0,20.81,67.52,Instagram,Lead Generation,Boomers,South America
37741.27,7.54,2.96,218264.0,78.02,85.12,Instagram,Lead Generation,Millennials,Africa
62481.23,7.22,9.3,237568.0,30.4,72.24,Facebook,Content Marketing,Gen Z,South America
65984.63,9.48,5.56,183886.0,34.95,50.1,Google Ads,Content Marketing,Boomers,Africa
54662.47,7.69,9.95,335746.0,30.59,75.28,Instagram,Brand Awareness,Boomers,Europe
60503.74,9.14,4.97,230697.0,29.24,58.19,Facebook,Content Marketing,Gen X,Europe
51771.01,5.83,5.49,343519.0,18.44,81.56,Twitter,Content Marketing,Gen Z,South America
64040.41,2.45,3.34,301624.0,49.64,60.25,Google Ads,Sales Promotion,Boomers,Europe
38683.67,4.93,8.89,234101.0,33.43,73.91,LinkedIn,Brand Awareness,Boomers,Europe
10434.02,8.0,4.19,100200.0,39.6,53.64,Facebook,Sales Promotion,Gen Z,South America
72484.86,8.99,2.81,397061.0,53.07,62.97,Twitter,Sales Promotion,Gen X,South America
29795.86,8.69,4.42,212743.0,10.84,60.04,Google Ads,Content Marketing,Gen X,North America
56648.45,1.2,5.95,151016.0,21.03,95.72,Google Ads,Brand Awareness,Millennials,Africa
56235.98,3.6,0.94,201295.0,79.23,89.0,Google Ads,Brand Awareness,Gen Z,Asia
47499.52,1.32,7.23,211088.0,54.42,62.6,Google Ads,Brand Awareness,Gen X,South America
26310.05,4.49,8.8,200798.0,59.52,68.53,Twitter,Sales Promotion,Millennials,South America
58756.84,0.72,8.82,122537.0,39.35,87.32,Instagram,Content Marketing,Boomers,North America
44141.88,8.63,6.51,179061.0,74.06,80.07,Twitter,Brand Awareness,Gen Z,Europe
50349.22,5.16,8.34,16631.0,31.18,79.7,Instagram,Brand Awareness,Gen X,Europe
53744.9,9.17,2.89,275058.0,33.61,54.71,Facebook,Brand Awareness,Gen X,North America
32464.68,9.17,7.94,392660.0,25.37,71.2,Twitter,Brand Awareness,Gen X,Africa
39784.66,5.26,9.33,68523.0,61.9,63.48,Facebook,Lead Generation,Millennials,North America
28323.17,7.84,2.77,397861.0,15.33,93.75,Facebook,Sales Promotion,Gen Z,Africa
75332.14,9.93,6.44,253054.0,66.26,87.1,LinkedIn,Sales Promotion,Gen X,North America
50101.3,0.75,2.27,249721.0,33.55,73.89,Facebook,Content Marketing,Gen Z,Africa
